# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
         80       11.2677110983       11.2906640232        3.2250639754 10823279.9269139487        0.0000000000
         81       11.4179249320       11.4410483253        3.2298237553 10838934.8953562193        0.0000000000
         82       11.5627316096       11.5860321244        3.2337723080 10851812.3607305810        0.0000000000
         83       11.7020960984       11.7255329053        3.2368172685 10861721.2137034666        0.0000000000
         84       11.8355556771       11.8591441994        3.2392432239 10869495.0741718467        0.0000000000
         85       11.9630439286       11.9867576686        3.2409961046 10875063.4260964040        0.0000000000
         86       12.0842821538       12.1081189365        3.2422094053 10878805.8209790234        0.0000000000
         87       12.1991287195       12.2230663332        3.2429051243 10880813.1594258342        0.0000000000
         88       12.3073110083       12.3313289729        3.2432224352 10881519.3029284272        0.0000000000
         89       12.4087605738       12.4328033416        3.2431310119 10882113.1961781438        0.0000000000
         90       12.5031437278       12.5272617113        3.2428335533 10883716.6874837670        0.0000000000
         91       12.5904534368       12.6145765489        3.2422579190 10885844.8198114280        0.0000000000
         92       12.6704495601       12.6945873450        3.2415388913 10888431.6741444338        0.0000000000
         93       12.7429552186       12.7670963079        3.2407621079 10891501.2810299508        0.0000000000
         94       12.8079439273       12.8320741025        3.2398906103 10894539.7536396533        0.0000000000
         95       12.8652903958       12.8894109285        3.2389787012 10897543.8157427050        0.0000000000
         96       12.9147921879       12.9388853027        3.2381526365 10900393.4304286279        0.0000000000
         97       12.9563932649       12.9804696434        3.2374199251 10903124.1107090674        0.0000000000
         98       12.9900590563       13.0141398491        3.2367752819 10905445.1974454485        0.0000000000
         99       13.0157289408       13.0397912589        3.2362439373 10907229.7194322795        0.0000000000
        100       13.0333422718       13.0573943641        3.2358561725 10908610.8506238200        0.0000000000
        101       13.0428516709       13.0668911930        3.2356382562 10909284.6194877978        0.0000000000
        102       13.0419929233       13.0660408702        3.2343857417 10905364.0768599175        0.0000000000
        103       13.0280342728       13.0639980403        3.2306345099 10892746.0270886533        0.0000000000
        104       13.0004146044       13.0626101305        3.2240925220 10870502.1424697414        0.0000000000
        105       12.9591075848       13.0618923738        3.2147300442 10838858.3851800449        0.0000000000
        106       12.9041694651       13.0617298791        3.2025505184 10797332.8465716355        0.0000000000
        107       12.8356831093       13.0621542345        3.1875557312 10746253.8770935107        0.0000000000
        108       12.7537506875       13.0631603852        3.1697521269 10685712.7211956568        0.0000000000
        109       12.6584939097       13.0646731314        3.1491474134 10615407.0922288857        0.0000000000
        110       12.5501187187       13.0667754575        3.1256931894 10535830.8168824110        0.0000000000
        111       12.4287047995       13.0693005154        3.0994676693 10446547.1577637773        0.0000000000
        112       12.2943651505       13.0722351936        3.0705381948 10347940.5352540147        0.0000000000
        113       12.1473928086       13.0756011402        3.0388326311 10240122.0885679275        0.0000000000
        114       11.9880456458       13.0792831941        3.0043257694 10122543.5526366755        0.0000000000
        115       11.8164124870       13.0832988619        2.9671547084  9996082.9290088881        0.0000000000
        116       11.6328973312       13.0875345386        2.9271974564  9860470.7731063310        0.0000000000
        117       11.4376158260       13.0919392838        2.8845998568  9718304.3502391987        0.0000000000
        118       11.2309406783       13.0965064732        2.8392971644  9570215.8257721700        0.0000000000
        119       11.0130849837       13.1010613752        2.7913768027  9416258.9543044157        0.0000000000
        120       10.7844566349       13.1057215012        2.7407714184  9257908.8832539245        0.0000000000
        121       10.5452412519       13.1102363319        2.6876208092  9094882.0245250650        0.0000000000
        122       10.2958925691       13.1146813257        2.6318392843  8928356.0910758376        0.0000000000
        123       10.0366562182       13.1189631380        2.5735384211  8758927.5380835887        0.0000000000
        124        9.7678495205       13.1229273400        2.5127784716  8586841.3036443144        0.0000000000
        125        9.4899779238       13.1267116698        2.4494615517  8413715.1739375796        0.0000000000
        126        9.2032799528       13.1300172790        2.3837362900  8238932.1298950082        0.0000000000
        127        8.9080986956       13.1328782378        2.3156700070  8063999.1629772801        0.0000000000
        128        8.6048662175       13.1351667302        2.2452581773  7888924.3669884205        0.0000000000
        129        8.2940362197       13.1368684353        2.1724836269  7714809.7217592085        0.0000000000
        130        7.9758953694       13.1379867114        2.0974870093  7542614.3330125855        0.0000000000
        131        7.6508070551       13.1383044340        2.0203485463  7372014.5721319206        0.0000000000
        132        7.3192035598       13.1379568309        1.9410920188  7208232.1225159224        0.0000000000
        133        6.9815007086       13.1367002302        1.8597605251  7044891.1438974654        0.0000000000
        134        6.6380916793       13.1346021629        1.7764233064  6886962.4711636724        0.0000000000
        135        6.2893634991       13.1315646929        1.6911599487  6734059.1640483299        0.0000000000
        136        5.9357064402       13.1274931159        1.6040510743  6585600.6791745126        0.0000000000
        137        5.5775136602       13.1224961943        1.5151772374  6443759.7286383975        0.0000000000
        138        5.2151847932       13.1163138024        1.4246172710  6307818.2746868981        0.0000000000
        139        4.8491161798       13.1091201216        1.3324550638  6179555.0044075185        0.0000000000
        140        4.4797027900       13.1007232599        1.2387765920  6058487.4817274874        0.0000000000
        141        4.1073350715       13.0911719018        1.1436737706  5945567.9800055185        0.0000000000
        142        3.7324017394       13.0804524071        1.0472412196  5841295.9365333561        0.0000000000
        143        3.3552874001       13.0684254398        0.9495768353  5745344.4662811933        0.0000000000
        144        2.9763744984       13.0552994830        0.8507817948  5659473.4708487177        0.0000000000
        145        2.5960410251       13.0408056117        0.7509594992  5582424.0959166139        0.0000000000
        146        2.2146633871       13.0251453682        0.6502144622  5515809.3482389254        0.0000000000
        147        1.8326129938       13.0081770539        0.5486537939  5459017.6643403629        0.0000000000
